Dendrite: 0,Timestep 1 (Luminosity),Timestep 2 (Luminosity),Timestep 3 (Luminosity),Timestep 4 (Luminosity),Timestep 5 (Luminosity),Timestep 6 (Luminosity),Timestep 7 (Luminosity),Timestep 8 (Luminosity)
"[232.0, 149.0]",46.0,39.0,64.0,101.0,134.0,57.0,87.0,58.0
"[232.0, 150.0]",44.0,50.0,60.0,104.0,66.0,91.0,143.0,75.0
"[231.0, 151.0]",36.0,79.0,95.0,130.0,111.0,107.0,139.0,82.0
"[231.0, 152.0]",54.0,60.0,64.0,81.0,85.0,116.0,184.0,107.0
"[231.0, 153.0]",47.0,73.0,54.0,77.0,80.0,128.0,155.0,99.0
"[231.0, 154.0]",46.0,54.0,94.0,95.0,76.0,137.0,132.0,138.0
"[231.0, 154.0]",46.0,54.0,94.0,95.0,76.0,137.0,132.0,138.0
"[230.0, 155.0]",39.0,81.0,94.0,116.0,72.0,153.0,112.0,117.0
"[230.0, 157.0]",49.0,25.0,45.0,107.0,60.0,136.0,131.0,80.0
"[230.0, 157.0]",49.0,25.0,45.0,107.0,60.0,136.0,131.0,80.0
"[230.0, 159.0]",28.0,30.0,66.0,60.0,38.0,123.0,60.0,44.0
"[230.0, 159.0]",28.0,30.0,66.0,60.0,38.0,123.0,60.0,44.0
"[230.0, 160.0]",29.0,61.0,35.0,53.0,40.0,112.0,42.0,75.0
"[229.0, 162.0]",46.0,64.0,46.0,69.0,55.0,85.0,55.0,47.0
"[229.0, 163.0]",58.0,83.0,71.0,124.0,50.0,76.0,74.0,77.0
"[229.0, 164.0]",56.0,104.0,67.0,148.0,65.0,80.0,111.0,51.0
"[229.0, 165.0]",81.0,94.0,81.0,150.0,96.0,52.0,118.0,88.0
"[229.0, 166.0]",124.0,127.0,146.0,193.0,99.0,62.0,174.0,93.0
"[229.0, 167.0]",106.0,95.0,145.0,198.0,101.0,98.0,190.0,77.0
"[229.0, 167.0]",106.0,95.0,145.0,198.0,101.0,98.0,190.0,77.0
"[228.0, 169.0]",158.0,129.0,141.0,182.0,172.0,107.0,195.0,145.0
"[228.0, 170.0]",182.0,151.0,148.0,181.0,192.0,147.0,224.0,144.0
"[228.0, 171.0]",208.0,147.0,146.0,191.0,187.0,169.0,214.0,172.0
"[228.0, 172.0]",192.0,166.0,128.0,172.0,161.0,186.0,199.0,182.0
